"u_account","u_account.name","u_account.u_number","acv","acv_usd","annual_list_value","annual_list_value_usd","contract","notes","product_price","quantity","sales_price","product_price.product.u_family_3","product_price.product.u_family_2","number"
"Department of Financial Protection and Innovation","Department of Financial Protection and Innovation","ACCT0158539","21,675","21,675","0","0","CON5031766","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","1,806.25","App Engine CSM","Now Platform App Engine","CLI0212796"
"Department B","Department B","ACCT0039725","49,329","67,815.9","198,360","261,000","CON0049230-DIRECT","","App Engine - Fulfiller   (GBP)","145","28.35","App Engine Fulfiller","Now Platform App Engine","CLI0192931"
"Dentsu International Ltd","Dentsu International Ltd","ACCT0066309","46,300.8","65,545.57","95,760","126,000","CON06065184","","App Engine - Fulfiller   (GBP)","70","55.12","App Engine Fulfiller","Now Platform App Engine","CLI0203604"
"Deloitte LLP Canada (Partner – MSP)","Deloitte LLP Canada (Partner – MSP)","ACCT0107690","3,974.52","3,974.52","0","0","03309AB-MSP","","Now Platform® App Engine - Module (USD)","1","331.21","App Engine Module","Now Platform App Engine","CLI0161953"
"Deloitte LLP Canada (Partner – MSP)","Deloitte LLP Canada (Partner – MSP)","ACCT0107690","3,313.2","3,313.2","27,000","27,000","03309AB-MSP","","App Engine - Fulfiller   (USD)","10","27.61","App Engine Fulfiller","Now Platform App Engine","CLI0161949"
"Deloitte Consulting LLP – Cigna","Deloitte Consulting LLP – Cigna","ACCT0146812","14,100","16,670.43","21,360","24,000","CON0053797-CIGNA","","App Engine - Unrestricted User (EUR)","100","11.75","App Engine Unrestricted User","Now Platform App Engine","CLI0180620"
"Deloitte Consulting LLP Deloitte Deliver","Deloitte Consulting LLP Deloitte Deliver","ACCT0151427","5,318.64","5,318.64","153,792","153,792","CON0053797-DT12","","Now Platform App Engine Starter + - Platform User (USD)","534","0.83","App Engine Starter","App Engine - Legacy","CLI0208055"
"Deloitte Consulting LLP Deloitte Deliver","Deloitte Consulting LLP Deloitte Deliver","ACCT0151427","894.6","894.6","20,160","20,160","Deloitte-36months","","Now Platform App Engine Starter + - Platform User (USD)","105","0.71","App Engine Starter","App Engine - Legacy","CLI0152439"
"Deloitte - Banco De Poupanca E Credito SARL.","Deloitte - Banco De Poupanca E Credito SARL.","ACCT0134709","12,986.88","15,327.12","16,233.6","18,240","CON0913698","","App Engine - Unrestricted User (EUR)","76","14.24","App Engine Unrestricted User","Now Platform App Engine","CLI0166587"
"Deloitte (Multi Tenant)","Deloitte (Multi Tenant)","ACCT0140568","23,760","23,760","108,000","108,000","CON0053797-MSP","","App Engine - Fulfiller   (USD)","40","49.5","App Engine Fulfiller","Now Platform App Engine","CLI0203254"
"Dell DCS - Microsoft","Dell DCS - Microsoft","ACCT0038400","58,056","58,056","0","0","10114CC-MIC","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","4,838","App Engine CSM","Now Platform App Engine","CLI0188300"
"Defense Security Cooperation Agency DSCA","Defense Security Cooperation Agency DSCA","ACCT0024078","15,864","15,864","16,800","16,800","CON1243416","","Now Platform App Engine Starter - Platform User (USD)","200","6.61","App Engine Starter","App Engine - Legacy","CLI0187642"
"Defense Logistics Agency","Defense Logistics Agency","ACCT0006266","239,700","239,700","900,000","900,000","CON1223076","","App Engine - Fulfiller   (USD)","500","39.95","App Engine Fulfiller","Now Platform App Engine","CLI0156393"
"Defense Innovation Unit Experimental DIUx","Defense Innovation Unit Experimental DIUx","ACCT0096553","28,350","28,350","0","0","CON0635430","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","2,362.5","App Engine CSM","Now Platform App Engine","CLI0163684"
"Defense Human Resources Activity: DHRA","Defense Human Resources Activity: DHRA","ACCT0011009","4,029","4,029","0","0","CON1313646","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","335.75","App Engine CSM","Now Platform App Engine","CLI0190714"
"Defense Human Resources Activity: DHRA","Defense Human Resources Activity: DHRA","ACCT0011009","18,900","18,900","36,000","36,000","CON1313646","","App Engine - Fulfiller   (USD)","20","78.75","App Engine Fulfiller","Now Platform App Engine","CLI0190715"
"Defense Counterintelligence and Security Agency DCSA","Defense Counterintelligence and Security Agency DCSA","ACCT0011003","125,550","125,550","279,000","279,000","CON1177634","","App Engine - Fulfiller   (USD)","155","67.5","App Engine Fulfiller","Now Platform App Engine","CLI0181176"
"Dedalus  SpA","Dedalus  SpA","ACCT0153388","7,209","8,567.18","8,010","9,000","CON5029364","","App Engine - Fulfiller   (EUR)","5","120.15","App Engine Fulfiller","Now Platform App Engine","CLI0213508"
"Deakin University","Deakin University","ACCT0009880","51,832.8","39,387.13","269,100","207,000","BV-16912KEY-APP","","App Engine - Fulfiller   (AUD)","115","37.56","App Engine Fulfiller","Now Platform App Engine","CLI0210081"
"Deakin University","Deakin University","ACCT0009880","0","0","0","0","BV-16912KEY","","App Engine - Fulfiller   (AUD)","0","37.56","App Engine Fulfiller","Now Platform App Engine","CLI0210071"
"DCSG 7000 AMK Pte Ltd","DCSG 7000 AMK Pte Ltd","ACCT0111509","9,240","9,240","39,600","39,600","CON0717376-IO","","App Engine - Fulfiller   (USD)","22","35","App Engine Fulfiller","Now Platform App Engine","CLI0178997"
"DB Systel GmbH","DB Systel GmbH","ACCT0007139","522,000","617,160.6","2,670,000","3,000,000","CON0569314","","Now Platform App Engine Professional - Platform User (EUR)","2,500","17.4","App Engine Professional","App Engine - Legacy","CLI0118374"
"DB Systel GmbH","DB Systel GmbH","ACCT0007139","245,340","290,065.48","1,254,900","1,410,000","CON0569314","","Now Platform App Engine Standard - Platform User (EUR)","4,700","4.35","App Engine Standard","App Engine - Legacy","CLI0118370"
"DAZN Media Services Limited","DAZN Media Services Limited","ACCT0022166","693","977.7","1,368","1,800","CON0991145","","App Engine - Fulfiller   (GBP)","1","57.75","App Engine Fulfiller","Now Platform App Engine","CLI0205552"
"DAZN Media Services Limited","DAZN Media Services Limited","ACCT0022166","20,097","27,761.57","39,672","52,200","CON0991145-DAZN","","App Engine - Fulfiller   (GBP)","29","57.75","App Engine Fulfiller","Now Platform App Engine","CLI0205562"
"Danske Bank AS","Danske Bank AS","ACCT0014354","276","329.85","1,602","1,800","BV-13913SYMF-DB","","App Engine - Fulfiller   (EUR)","1","23","App Engine Fulfiller","Now Platform App Engine","CLI0173660"
"Danone","Danone","ACCT0031516","12,000","14,187.6","13,350","15,000","CON0549320","","Now Platform App Engine Standard - Platform User (EUR)","50","20","App Engine Standard","App Engine - Legacy","CLI0111407"
"Danbury Mission Technologies","Danbury Mission Technologies","ACCT0157633","4,800","4,800","0","0","CON5022522","","Now Platform® App Engine for IT Service Management - Module (USD)","1","400","App Engine ITSM","Now Platform App Engine","CLI0183520"
"Dana Ltd","Dana Ltd","ACCT0004059","1,875","1,875","1,500","1,500","CON0057782","","Now Platform App Engine Standard - Platform User (USD)","5","31.25","App Engine Standard","App Engine - Legacy","CLI0136994"
"Daiichi Sankyo Co Ltd","Daiichi Sankyo Co Ltd","ACCT0031489","4,384,800","39,351.37","6,264,000","52,200","CON0050109","","App Engine - Fulfiller   (JPY)","29","12,600","App Engine Fulfiller","Now Platform App Engine","CLI0191521"
"Dai-ichi Life Insurance Co Ltd","Dai-ichi Life Insurance Co Ltd","ACCT0027109","3,663,360","32,876.81","9,158,400","76,320","CON0995146-CSM","","App Engine - Unrestricted User (JPY)","318","960","App Engine Unrestricted User","Now Platform App Engine","CLI0192877"
"Dai-ichi Life Insurance Co Ltd","Dai-ichi Life Insurance Co Ltd","ACCT0027109","288,000,000","2,584,654.62","720,000,000","6,000,000","CON0995146-DBE","","App Engine - Unrestricted User (JPY)","25,000","960","App Engine Unrestricted User","Now Platform App Engine","CLI0192888"
"Cyxtera Technologies Inc","Cyxtera Technologies Inc","ACCT0096460","102,096","102,096","0","0","CON0637033","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","8,508","App Engine CSM","Now Platform App Engine","CLI0163378"
"Cyxtera FedRamp","Cyxtera FedRamp","ACCT0144754","6,806.4","6,806.4","0","0","CON0637033- PROD","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","567.2","App Engine CSM","Now Platform App Engine","CLI0163430"
"Cyient Ltd","Cyient Ltd","ACCT0076624","6,768","6,768","9,600","9,600","CON0538840","","Now Platform App Engine Starter + - Platform User (USD)","50","11.28","App Engine Starter","App Engine - Legacy","CLI0122333"
"Cygate AB","Cygate AB","ACCT0048762","220,680","267,331.75","1,201,500","1,350,000","CON0611612-CYGATE","","App Engine - Fulfiller   (EUR)","750","24.52","App Engine Fulfiller","Now Platform App Engine","CLI0169477"
"Cubic Transportation Systems Inc","Cubic Transportation Systems Inc","ACCT0038450","133,500","133,500","3,204,000","3,204,000","17714EK-CEMA","","App Engine - Fulfiller   (USD)","1,780","6.25","App Engine Fulfiller","Now Platform App Engine","CLI0163022"
"Cube System Inc","Cube System Inc","ACCT0155777","3,088,800","27,841.98","2,808,000","23,400","CON5028396","","App Engine - Fulfiller   (JPY)","13","19,800","App Engine Fulfiller","Now Platform App Engine","CLI0210677"
"CTT Correios De Portugal SA","CTT Correios De Portugal SA","ACCT0050488","36,552","44,494.75","53,400","60,000","CON0092228-PROD","","Now Platform App Engine Standard - Platform User (EUR)","200","15.23","App Engine Standard","App Engine - Legacy","CLI0174037"
"CSRA LLC - US Dept Of Homeland Security","CSRA LLC - US Dept Of Homeland Security","ACCT0014322","34,817.4","34,817.4","34,500","34,500","CON0076834-DC1","","Now Platform App Engine Standard - Platform User (USD)","115","25.23","App Engine Standard","App Engine - Legacy","CLI0213148"
"CS Energy Ltd","CS Energy Ltd","ACCT0021080","6,492","4,846.86","11,700","9,000","CON0049957","","App Engine - Fulfiller   (AUD)","5","108.2","App Engine Fulfiller","Now Platform App Engine","CLI0203934"
"Crown Castle USA","Crown Castle USA","ACCT0002166","42,000","42,000","90,000","90,000","09015BL","","App Engine - Fulfiller   (USD)","50","70","App Engine Fulfiller","Now Platform App Engine","CLI0191825"
"Crowe LLP","Crowe LLP","ACCT0008087","73,800","73,800","270,000","270,000","33912ES","","App Engine - Fulfiller   (USD)","150","41","App Engine Fulfiller","Now Platform App Engine","CLI0142203"
"CRI Advantage Inc","CRI Advantage Inc","ACCT0081463","23,940","23,940","513,000","513,000","LCN0009539","","App Engine - Fulfiller   (USD)","190","10.5","App Engine Fulfiller","Now Platform App Engine","CLI0184930"
"Crescent Point Energy Corp","Crescent Point Energy Corp","ACCT0014979","39,988.08","31,994.78","40,086","30,600","17814WR","","App Engine - Fulfiller   (CAD)","17","196.02","App Engine Fulfiller","Now Platform App Engine","CLI0214479"
"Cree, Inc.","Cree, Inc.","ACCT0005350","6,300","6,300","7,500","7,500","16212RD","","Now Platform App Engine Standard - Platform User (USD)","25","21","App Engine Standard","App Engine - Legacy","CLI0105503"
"Credito Valtellinese SpA","Credito Valtellinese SpA","ACCT0033303","25,981.8","30,876.77","0","0","BV-26514CS","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","2,165.15","App Engine ITSM","Now Platform App Engine","CLI0162141"
"Credit Mutuel Arkea","Credit Mutuel Arkea","ACCT0008506","14,580","17,423.1","30,277.8","34,020","CON1065607","","Now Platform App Engine Starter - Platform User (EUR)","405","3","App Engine Starter","App Engine - Legacy","CLI0121416"
"Credit Agricole Vita SpA","Credit Agricole Vita SpA","ACCT0097842","16,020","19,489.93","16,020","18,000","CON0644257","","App Engine - Fulfiller   (EUR)","10","133.5","App Engine Fulfiller","Now Platform App Engine","CLI0175298"
"Credit Agricole Payment Services","Credit Agricole Payment Services","ACCT0018574","17,280","21,204.29","160,200","180,000","BV-04714FP","","App Engine - Fulfiller   (EUR)","100","14.4","App Engine Fulfiller","Now Platform App Engine","CLI0178078"
"Credit Agricole Group Solutions SCpA","Credit Agricole Group Solutions SCpA","ACCT0037440","10,252.8","12,568.91","12,816","14,400","CON0572730","","App Engine - Fulfiller   (EUR)","8","106.8","App Engine Fulfiller","Now Platform App Engine","CLI0176862"
"Coyote Logistics LLC","Coyote Logistics LLC","ACCT0054389","58,500","58,500","90,000","90,000","CON0089652","","Now Platform App Engine Standard - Platform User (USD)","300","16.25","App Engine Standard","App Engine - Legacy","CLI0113480"
"COWI Holding A/S","COWI Holding A/S","ACCT0015722","23,564.4","28,581.26","0","0","BV-01915DEVO","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","1,963.7","App Engine ITSM","Now Platform App Engine","CLI0159335"
"County Of Ventura","County Of Ventura","ACCT0000288","0","0","0","0","06007DG","","Now Platform® App Engine for IT Service Management - Module (USD)","1","0","App Engine ITSM","Now Platform App Engine","CLI0159846"
"County Of Olmsted","County Of Olmsted","ACCT0054305","11,093.76","11,093.76","0","0","CON1124896","","Now Platform® App Engine for IT Service Management - Module (USD)","1","924.48","App Engine ITSM","Now Platform App Engine","CLI0136626"
"County Of Fresno","County Of Fresno","ACCT0061504","21,000","21,000","36,000","36,000","CON1047089","","App Engine - Fulfiller   (USD)","20","87.5","App Engine Fulfiller","Now Platform App Engine","CLI0201258"
"Corteva Inc","Corteva Inc","ACCT0001078","52,800","52,800","144,000","144,000","CON1205560","","App Engine - Fulfiller   (USD)","80","55","App Engine Fulfiller","Now Platform App Engine","CLI0147290"
"Corrs Support Services Pty Ltd as trustee of the Corrs Support Services Trust","Corrs Support Services Pty Ltd as trustee of the Corrs Support Services Trust","ACCT0023135","24,156","16,604.01","157,680","108,000","CON0556167","","App Engine - Fulfiller   (AUD)","60","33.55","App Engine Fulfiller","Now Platform App Engine","CLI0144628"
"CorreosChile","CorreosChile","ACCT0129886","21,720","21,720","21,720","21,720","CON0999575","","Now Platform App Engine Starter - Unrestricted User (USD)","724","2.5","App Engine Starter","App Engine - Legacy","CLI0098719"
"Corporativo Bimbo SA De CV","Corporativo Bimbo SA De CV","ACCT0027884","234,000","234,000","360,000","360,000","17014RM","","App Engine - Fulfiller   (USD)","200","97.5","App Engine Fulfiller","Now Platform App Engine","CLI0177730"
"Cornerstone OnDemand Inc","Cornerstone OnDemand Inc","ACCT0019926","108,000","108,000","180,000","180,000","CON1246435","","App Engine - Fulfiller   (USD)","100","90","App Engine Fulfiller","Now Platform App Engine","CLI0153117"
"CoreLogic Inc","CoreLogic Inc","ACCT0003540","8,400","8,400","36,000","36,000","CON0099734","","App Engine - Fulfiller   (USD)","20","35","App Engine Fulfiller","Now Platform App Engine","CLI0165882"
"Cooperativa Central de Crédito - AILOS","Cooperativa Central de Crédito - AILOS","ACCT0069427","230,665.2","45,418.24","420,514.56","81,024","CON0686739","","Now Platform App Engine Starter + - Platform User (BRL)","422","45.55","App Engine Starter","App Engine - Legacy","CLI0140042"
"Coop Norway","Coop Norway","ACCT0021297","70,272","82,794.47","0","0","BV-23014SYMF","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","5,856","App Engine ITSM","Now Platform App Engine","CLI0175256"
"Cookpad Inc","Cookpad Inc","ACCT0085519","4,400,400","39,788.75","4,104,000","34,200","CON0567452","","Now Platform App Engine Starter - Unrestricted User (JPY)","950","386","App Engine Starter","App Engine - Legacy","CLI0158269"
"Cookpad Inc","Cookpad Inc","ACCT0085519","2,151,072","19,450.16","0","0","CON0567452","","Now Platform® App Engine for IT Service Management - Module (JPY)","1","179,256","App Engine ITSM","Now Platform App Engine","CLI0158266"
"Contender Solutions LLC","Contender Solutions LLC","ACCT0024066","40,992","40,992","73,200","73,200","CON1037288","","Now Platform App Engine Professional - Platform User (USD)","61","56","App Engine Professional","App Engine - Legacy","CLI0102025"
"Consulate Health Care LLC (formerly CMC II)","Consulate Health Care LLC (formerly CMC II)","ACCT0012457","17,280","17,280","0","0","36311JK","","Now Platform® App Engine for IT Service Management - Module (USD)","1","1,440","App Engine ITSM","Now Platform App Engine","CLI0184619"
"Conduent Inc","Conduent Inc","ACCT0086672","24,295.68","24,295.68","0","0","CON0679998","","Now Platform® App Engine for IT Service Management - Module (USD)","1","2,024.64","App Engine ITSM","Now Platform App Engine","CLI0141950"
"Computer Sciences Corp UK Secure","Computer Sciences Corp UK Secure","ACCT0089588","11,880","11,880","29,700","29,700","32513JM-UKSEC","","App Engine - Fulfiller   (USD)","11","90","App Engine Fulfiller","Now Platform App Engine","CLI0193421"
"Computer Sciences Corp - Intermountain Health Inc","Computer Sciences Corp - Intermountain Health Inc","ACCT0121400","3,240","3,240","5,400","5,400","32513JM-IHCS","","App Engine - Fulfiller   (USD)","3","90","App Engine Fulfiller","Now Platform App Engine","CLI0175656"
"Computer Sciences Corp - BC Pension Corp","Computer Sciences Corp - BC Pension Corp","ACCT0111798","9,750","9,750","19,500","19,500","32513JM-BCPC","","Now Platform App Engine Starter - Unrestricted User (USD)","650","1.25","App Engine Starter","App Engine - Legacy","CLI0158167"
"Computer Aid Inc","Computer Aid Inc","ACCT0032986","10,800","10,800","22,500","22,500","32012PS-MSP1","","Now Platform App Engine Standard - Platform User (USD)","75","12","App Engine Standard","App Engine - Legacy","CLI0097723"
"Computer Aid Inc","Computer Aid Inc","ACCT0032986","178,560","178,560","372,000","372,000","32012PS-MSP1","","Now Platform App Engine Professional - Platform User (USD)","310","48","App Engine Professional","App Engine - Legacy","CLI0097725"
"Compufacil SAS","Compufacil SAS","ACCT0076386","780","780","1,200","1,200","CON0099972","","Now Platform App Engine Professional - Platform User (USD)","1","65","App Engine Professional","App Engine - Legacy","CLI0112182"
"Compufacil SAS","Compufacil SAS","ACCT0076386","29,250","29,250","45,000","45,000","CON0099972","","Now Platform App Engine Standard - Platform User (USD)","150","16.25","App Engine Standard","App Engine - Legacy","CLI0112183"
"CompuCom Systems Inc MSP","CompuCom Systems Inc MSP","ACCT0013334","360,582.6","360,582.6","0","0","14008MW","","Now Platform® App Engine for IT Service Management - Module (USD)","1","30,048.55","App Engine ITSM","Now Platform App Engine","CLI0211555"
"Compassion International Inc","Compassion International Inc","ACCT0001793","97,500","97,500","780,000","780,000","14811MB","","App Engine - Unrestricted User (USD)","3,250","2.5","App Engine Unrestricted User","Now Platform App Engine","CLI0211525"
"Compass Group (Australia) Pty Ltd","Compass Group (Australia) Pty Ltd","ACCT0020803","20,476.8","15,287.78","93,600","72,000","CON0049082","","App Engine - Fulfiller   (AUD)","40","42.66","App Engine Fulfiller","Now Platform App Engine","CLI0193121"
"Compañía Cervecerías Unidas S.A","Compañía Cervecerías Unidas S.A","ACCT0032453","48,654","48,654","79,500","79,500","CON1061680","","Now Platform App Engine Standard - Platform User (USD)","265","15.3","App Engine Standard","App Engine - Legacy","CLI0099770"
"Compañía Cervecerías Unidas S.A","Compañía Cervecerías Unidas S.A","ACCT0032453","12,486.24","12,486.24","20,010","20,010","CON1061680","","Now Platform App Engine Starter - Unrestricted User (USD)","667","1.56","App Engine Starter","App Engine - Legacy","CLI0099769"
"Community Health Network Inc","Community Health Network Inc","ACCT0000238","0","0","0","0","12011LR","","Now Platform® App Engine for IT Service Management - Module (USD)","1","0","App Engine ITSM","Now Platform App Engine","CLI0152134"
"Community Health Network Inc","Community Health Network Inc","ACCT0000238","3,750","3,750","18,000","18,000","12011LR","","App Engine - Fulfiller   (USD)","10","31.25","App Engine Fulfiller","Now Platform App Engine","CLI0152135"
"Commonwealth Of Massachusetts","Commonwealth Of Massachusetts","ACCT0009028","198,000","198,000","0","0","CON0059430","","Now Platform® App Engine for IT Service Management - Module (USD)","1","16,500","App Engine ITSM","Now Platform App Engine","CLI0211591"
"CommonSpirit Health - Security","CommonSpirit Health - Security","ACCT0148636","0","0","4,320","4,320","CON0059019-SECURITY","","App Engine - Fulfiller   (USD)","3","0","App Engine Fulfiller","Now Platform App Engine","CLI0210444"
"CommonSpirit Health","CommonSpirit Health","ACCT0001722","0","0","2,191,680","2,191,680","CON0059019","","App Engine - Fulfiller   (USD)","1,522","0","App Engine Fulfiller","Now Platform App Engine","CLI0211102"
"Common Securitization Solutions LLC","Common Securitization Solutions LLC","ACCT0065710","60,000","60,000","96,000","96,000","08314JS-ADDL","","Now Platform App Engine Standard - Unrestricted User (USD)","1,000","5","App Engine Standard","App Engine - Legacy","CLI0125707"
"Commission Scolaire Kativik","Commission Scolaire Kativik","ACCT0054029","4,528.8","3,655.77","0","0","CON5000909","","Now Platform® App Engine for IT Service Management - Module (CAD)","1","377.4","App Engine ITSM","Now Platform App Engine","CLI0171804"
"Commerce Commission","Commerce Commission","ACCT0071973","0","0","0","0","CON0084755-NZD","","Now Platform App Engine Standard - Platform User (NZD)","0","0","App Engine Standard","App Engine - Legacy","CLI0099554"
"Commerce Commission","Commerce Commission","ACCT0071973","167,040","117,537.89","881,280","576,000","CON0084755-NZD","","App Engine - Fulfiller   (NZD)","320","43.5","App Engine Fulfiller","Now Platform App Engine","CLI0192971"
"Columbia University","Columbia University","ACCT0004464","33,696","33,696","0","0","22607JH-COLU","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","2,808","App Engine Professional","App Engine","CLI0204764"
"Columbia Business School","Columbia Business School","ACCT0000888","0","0","0","0","22607JH","","Now Platform® App Engine for IT Service Management - Module (USD)","1","0","App Engine ITSM","Now Platform App Engine","CLI0159983"
"Cognizant (Managed Security Services)","Cognizant (Managed Security Services)","ACCT0137743","131,207.4","131,207.4","0","0","31611JM-Internal2","","Now Platform® App Engine for IT Service Management - Module (USD)","1","10,933.95","App Engine ITSM","Now Platform App Engine","CLI0178581"
"Cogeco Connexion Inc.","Cogeco Connexion Inc.","ACCT0002613","21,000","21,000","30,000","30,000","CON0744854","","Now Platform App Engine Standard - Platform User (USD)","100","17.5","App Engine Standard","App Engine - Legacy","CLI0098472"
"Coca-Cola Co – IMCR","Coca-Cola Co – IMCR","ACCT0033613","112,158","112,158","361,800","361,800","26710RH-IMCR","","App Engine - Fulfiller   (USD)","201","46.5","App Engine Fulfiller","Now Platform App Engine","CLI0163781"
"Co-operators Financial Services Limited","Co-operators Financial Services Limited","ACCT0017125","0","0","0","0","33813BH","","Now Platform® App Engine for Customer Service Management - Module (CAD)","1","0","App Engine CSM","Now Platform App Engine","CLI0147097"
"CMS Financial Management Systems Group","CMS Financial Management Systems Group","ACCT0075345","112,392","112,392","126,000","126,000","CON0639163","","Now Platform App Engine Standard - Platform User (USD)","420","22.3","App Engine Standard","App Engine - Legacy","CLI0149549"
"CloudHPT Bios India Pvt Ltd","CloudHPT Bios India Pvt Ltd","ACCT0143042","4,104","4,104","7,296","7,296","CON1152376","","Now Platform App Engine Starter + - Platform User (USD)","38","9","App Engine Starter","App Engine - Legacy","CLI0115642"
"Clayton State University","Clayton State University","ACCT0019996","0","0","0","0","CON0064672","","I2 Now Platform® App Engine - Included Student Fulfiller (USD)","25","0","App Engine Professional","App Engine","CLI0206750"
"Clayton State University","Clayton State University","ACCT0019996","22,464","22,464","22,464","22,464","CON0064672","","I2 Now Platform® App Engine - Fulfiller User (USD)","50","37.44","App Engine Professional","App Engine","CLI0206753"
"City West Water Corp","City West Water Corp","ACCT0023396","0","0","0","0","CON0063967","","App Engine - Fulfiller   (AUD)","0","0","App Engine Fulfiller","Now Platform App Engine","CLI0163069"
"City Of Vancouver Canada","City Of Vancouver Canada","ACCT0006720","21,600","17,460.95","58,950","45,000","CON0569545","","App Engine - Fulfiller   (CAD)","25","72","App Engine Fulfiller","Now Platform App Engine","CLI0200389"
"City Of Minneapolis","City Of Minneapolis","ACCT0026351","15,582","15,582","95,400","95,400","02815CARA","","App Engine - Fulfiller   (USD)","53","24.5","App Engine Fulfiller","Now Platform App Engine","CLI0174401"
"City Of Los Angeles","City Of Los Angeles","ACCT0003526","191,700","191,700","6,318,000","6,318,000","CON0096001","","App Engine - Fulfiller   (USD)","3,510","4.55","App Engine Fulfiller","Now Platform App Engine","CLI0213345"
"City Of Greater Geelong","City Of Greater Geelong","ACCT0023139","27,600","20,741.84","46,800","36,000","CON0626981","","App Engine - Fulfiller   (AUD)","20","115","App Engine Fulfiller","Now Platform App Engine","CLI0206879"
"City National Bank","City National Bank","ACCT0001938","26,403","26,403","0","0","CON0032377","","Now Platform® App Engine for IT Service Management - Module (USD)","1","2,200.25","App Engine ITSM","Now Platform App Engine","CLI0149409"
"Cisco IT","Cisco IT","ACCT0074361","210,000","210,000","1,260,000","1,260,000","35514RO-IT","","App Engine - Fulfiller   (USD)","700","25","App Engine Fulfiller","Now Platform App Engine","CLI0193479"
"Circle K AS","Circle K AS","ACCT0033555","71,409.6","71,409.6","861,840","861,840","CON1013406","","Now Platform App Engine Starter - Platform User (USD)","10,260","0.58","App Engine Starter","App Engine - Legacy","CLI0135473"
"Cineplex Entertainment Limited Partnership","Cineplex Entertainment Limited Partnership","ACCT0009933","27,648","21,930.24","0","0","CON1093866","","Now Platform® App Engine for Customer Service Management - Module (CAD)","1","2,304","App Engine CSM","Now Platform App Engine","CLI0154873"
"Cineplex Entertainment Limited Partnership","Cineplex Entertainment Limited Partnership","ACCT0009933","6,912","5,482.56","0","0","CON1093866","","Now Platform® App Engine for IT Service Management - Module (CAD)","1","576","App Engine ITSM","Now Platform App Engine","CLI0154870"
"Church & Dwight Co Inc","Church & Dwight Co Inc","ACCT0004458","41,400","41,400","45,000","45,000","25114PK","","App Engine - Fulfiller   (USD)","25","138","App Engine Fulfiller","Now Platform App Engine","CLI0146016"
"Chugai Pharmaceutical Co Ltd","Chugai Pharmaceutical Co Ltd","ACCT0067105","48,816","48,816","2,034,000","2,034,000","CON0091669-CHUGAIPH","","Now Platform App Engine Professional - Unrestricted User (USD)","11,300","0.36","App Engine Professional","App Engine - Legacy","CLI0122788"
"Chubb INA Holdings Inc.","Chubb INA Holdings Inc.","ACCT0000941","27,000","27,000","36,000","36,000","CON1042705","","Now Platform App Engine Professional - Platform User (USD)","30","75","App Engine Professional","App Engine - Legacy","CLI0110494"
"Chr Hansen Holding AS","Chr Hansen Holding AS","ACCT0025295","11,953.2","12,959.66","56,070","63,000","BV-11214AR","","App Engine - Fulfiller   (EUR)","35","28.46","App Engine Fulfiller","Now Platform App Engine","CLI0136734"
"Chick-fil-A Inc","Chick-fil-A Inc","ACCT0010602","302,400","302,400","4,320,000","4,320,000","35011AK","","App Engine - Fulfiller   (USD)","2,400","10.5","App Engine Fulfiller","Now Platform App Engine","CLI0212833"
"Chicago Public Schools","Chicago Public Schools","ACCT0091283","168,000","168,000","1,800,000","1,800,000","CON0664963","","App Engine - Fulfiller   (USD)","1,000","14","App Engine Fulfiller","Now Platform App Engine","CLI0191185"
"Cherokee Nation Entertainment LLC","Cherokee Nation Entertainment LLC","ACCT0017187","30,870","30,870","0","0","19514SD","","Now Platform® App Engine for IT Service Management - Module (USD)","1","2,572.5","App Engine ITSM","Now Platform App Engine","CLI0164611"
"CHEP Company","CHEP Company","ACCT0006943","77,112","77,112","183,600","183,600","02115PR","","App Engine - Fulfiller   (USD)","102","63","App Engine Fulfiller","Now Platform App Engine","CLI0181806"
"Charles River Laboratories Edinburgh Ltd","Charles River Laboratories Edinburgh Ltd","ACCT0081342","21,067.2","29,274.34","30,096","39,600","CON0564242","","App Engine - Fulfiller   (GBP)","22","79.8","App Engine Fulfiller","Now Platform App Engine","CLI0210716"
"Cenovus Energy Inc","Cenovus Energy Inc","ACCT0007188","47,196","47,196","270,000","270,000","02915JV","","App Engine - Fulfiller   (USD)","150","26.22","App Engine Fulfiller","Now Platform App Engine","CLI0184706"
"CenITex","CenITex","ACCT0005591","66,456","50,043.98","93,600","72,000","CON0823359","","Now Platform App Engine Professional - Platform User (AUD)","60","92.3","App Engine Professional","App Engine - Legacy","CLI0116056"
"Cemex Innovation Holding Ltd.","Cemex Innovation Holding Ltd.","ACCT0031880","191,616","191,616","0","0","CON0080116","","Now Platform® App Engine for IT Service Management - Module (USD)","1","15,968","App Engine ITSM","Now Platform App Engine","CLI0193742"
